user_id,churn_probability,churn_prediction,churn_probability_pct,risk_segment,risk_score,retention_priority,plan,billing_frequency,monthly_recurring_revenue,annual_contract_value,tenure_days,upgrade_count,downgrade_count,acquisition_source,total_mrr,average_monthly_revenue,active_months,retention_rank
U007306,0.9955632433860983,1,99.56,Critical,99.56,Immediate,starter,monthly,29.0,348.0,235,0,0,self-serve,261.0,29.0,9,22
U017567,0.9954989888748113,1,99.55,Critical,99.55,Immediate,starter,monthly,29.0,348.0,228,0,0,sales-assisted,261.0,29.0,9,23
U026456,0.9954563210635216,1,99.55,Critical,99.55,Immediate,professional,monthly,79.0,948.0,47,0,0,self-serve,237.0,79.0,3,24
U020147,0.9954458685403593,1,99.54,Critical,99.54,Immediate,starter,monthly,29.0,348.0,119,0,0,self-serve,145.0,29.0,5,25
U021826,0.9954458685403593,1,99.54,Critical,99.54,Immediate,starter,monthly,29.0,348.0,119,0,0,self-serve,145.0,29.0,5,26
U026717,0.99523911097635,1,99.52,Critical,99.52,Immediate,starter,monthly,29.0,348.0,176,1,0,self-serve,203.0,29.0,7,27
U022588,0.9951473428401564,1,99.51,Critical,99.51,Immediate,starter,monthly,29.0,348.0,271,0,0,self-serve,290.0,29.0,10,28
U021661,0.9951247589158051,1,99.51,Critical,99.51,Immediate,professional,monthly,79.0,948.0,104,0,0,self-serve,395.0,79.0,5,29
U004690,0.9951247589158051,1,99.51,Critical,99.51,Immediate,professional,monthly,79.0,948.0,104,0,0,self-serve,395.0,79.0,5,30
U018633,0.9950593139185107,1,99.51,Critical,99.51,Immediate,starter,monthly,29.0,348.0,121,0,0,self-serve,145.0,29.0,5,31
U023528,0.9949778608997484,1,99.5,Critical,99.5,Immediate,starter,monthly,29.0,348.0,240,0,0,self-serve,261.0,29.0,9,32
U019349,0.994924634194738,1,99.49,Critical,99.49,Immediate,starter,monthly,29.0,348.0,89,1,0,self-serve,116.0,29.0,4,33
U009440,0.9946725450343535,1,99.47,Critical,99.47,Immediate,starter,monthly,29.0,348.0,65,1,0,self-serve,116.0,29.0,4,34
U015952,0.9946562819202502,1,99.47,Critical,99.47,Immediate,starter,monthly,29.0,348.0,157,1,0,self-serve,203.0,29.0,7,35
U014976,0.9945586497412697,1,99.46,Critical,99.46,Immediate,starter,monthly,29.0,348.0,124,0,0,partner,145.0,29.0,5,36
U005878,0.9945542944396508,1,99.46,Critical,99.46,Immediate,starter,monthly,29.0,348.0,113,0,0,self-serve,145.0,29.0,5,37
U008990,0.9945103184135017,1,99.45,Critical,99.45,Immediate,starter,monthly,29.0,348.0,172,0,1,self-serve,203.0,29.0,7,38
U022868,0.9944874752361782,1,99.45,Critical,99.45,Immediate,starter,monthly,29.0,348.0,51,0,0,sales-assisted,87.0,29.0,3,39
U017809,0.9944874752361782,1,99.45,Critical,99.45,Immediate,starter,monthly,29.0,348.0,51,0,0,sales-assisted,87.0,29.0,3,40
U003385,0.994347893868234,1,99.43,Critical,99.43,Immediate,starter,monthly,29.0,348.0,78,0,0,sales-assisted,116.0,29.0,4,41
U015771,0.9943452099524105,1,99.43,Critical,99.43,Immediate,professional,monthly,79.0,948.0,49,0,0,self-serve,237.0,79.0,3,42
U028024,0.994295942959679,1,99.43,Critical,99.43,Immediate,starter,monthly,29.0,348.0,172,1,0,self-serve,203.0,29.0,7,43
U014352,0.994233137533912,1,99.42,Critical,99.42,Immediate,starter,monthly,29.0,348.0,69,0,0,sales-assisted,116.0,29.0,4,44
U019916,0.9941422656429286,1,99.41,Critical,99.41,Immediate,starter,monthly,29.0,348.0,208,1,0,self-serve,232.0,29.0,8,45
U008777,0.9941422656429286,1,99.41,Critical,99.41,Immediate,starter,monthly,29.0,348.0,208,1,0,self-serve,232.0,29.0,8,46
U016650,0.9937086648730779,1,99.37,Critical,99.37,Immediate,starter,monthly,29.0,348.0,117,1,0,self-serve,145.0,29.0,5,47
U002231,0.9937086648730779,1,99.37,Critical,99.37,Immediate,starter,monthly,29.0,348.0,117,1,0,self-serve,145.0,29.0,5,48
U006016,0.9936557776430167,1,99.37,Critical,99.37,Immediate,starter,monthly,29.0,348.0,175,1,0,self-serve,203.0,29.0,7,49
U005371,0.9935396413626459,1,99.35,Critical,99.35,Immediate,starter,monthly,29.0,348.0,57,1,0,self-serve,87.0,29.0,3,50
U014486,0.9935396413626459,1,99.35,Critical,99.35,Immediate,starter,monthly,29.0,348.0,57,1,0,self-serve,87.0,29.0,3,51
U019604,0.9935018347356457,1,99.35,Critical,99.35,Immediate,starter,monthly,29.0,348.0,85,1,0,self-serve,116.0,29.0,4,52
U010943,0.9934475870447042,1,99.34,Critical,99.34,Immediate,starter,monthly,29.0,348.0,90,0,0,self-serve,116.0,29.0,4,53
U024639,0.9934475870447042,1,99.34,Critical,99.34,Immediate,starter,monthly,29.0,348.0,90,0,0,self-serve,116.0,29.0,4,54
U029029,0.9933491075661518,1,99.33,Critical,99.33,Immediate,starter,monthly,29.0,348.0,211,0,0,self-serve,232.0,29.0,8,55
U025256,0.9933491075661518,1,99.33,Critical,99.33,Immediate,starter,monthly,29.0,348.0,211,0,0,self-serve,232.0,29.0,8,56
U018211,0.9932725469553613,1,99.33,Critical,99.33,Immediate,professional,monthly,79.0,948.0,135,0,0,self-serve,474.0,79.0,6,57
U003614,0.9928702549661381,1,99.29,Critical,99.29,Immediate,starter,monthly,29.0,348.0,60,0,0,self-serve,87.0,29.0,3,58
U013807,0.9928140673070542,1,99.28,Critical,99.28,Immediate,professional,monthly,79.0,948.0,101,0,0,sales-assisted,395.0,79.0,5,59
U018299,0.9927286772222006,1,99.27,Critical,99.27,Immediate,starter,monthly,29.0,348.0,91,0,1,self-serve,116.0,29.0,4,60
U008649,0.9927275590541088,1,99.27,Critical,99.27,Immediate,starter,annual,29.0,348.0,125,0,0,self-serve,145.0,29.0,5,61
U006641,0.9926590217549047,1,99.27,Critical,99.27,Immediate,starter,monthly,29.0,348.0,59,0,0,self-serve,87.0,29.0,3,62
U019635,0.9925604375332773,1,99.26,Critical,99.26,Immediate,starter,monthly,29.0,348.0,101,1,0,self-serve,145.0,29.0,5,63
U020643,0.9925157097994746,1,99.25,Critical,99.25,Immediate,starter,monthly,29.0,348.0,130,1,1,self-serve,145.0,29.0,5,64
U001591,0.9925157097994746,1,99.25,Critical,99.25,Immediate,starter,monthly,29.0,348.0,130,1,1,self-serve,145.0,29.0,5,65
U010294,0.9924750791348903,1,99.25,Critical,99.25,Immediate,starter,monthly,29.0,348.0,234,0,0,self-serve,261.0,29.0,9,66
U003787,0.9924443170669371,1,99.24,Critical,99.24,Immediate,starter,monthly,29.0,348.0,159,1,0,sales-assisted,203.0,29.0,7,67
U029028,0.9923949624585697,1,99.24,Critical,99.24,Immediate,starter,monthly,29.0,348.0,58,1,0,sales-assisted,87.0,29.0,3,68
U002221,0.9922421366965511,1,99.22,Critical,99.22,Immediate,starter,monthly,29.0,348.0,168,0,0,self-serve,174.0,29.0,6,69
U000688,0.9922421366965511,1,99.22,Critical,99.22,Immediate,starter,monthly,29.0,348.0,168,0,0,self-serve,174.0,29.0,6,70
U021412,0.9922421366965511,1,99.22,Critical,99.22,Immediate,starter,monthly,29.0,348.0,168,0,0,self-serve,174.0,29.0,6,71
U013526,0.9921862123665632,1,99.22,Critical,99.22,Immediate,starter,monthly,29.0,348.0,260,0,0,self-serve,290.0,29.0,10,72
U018673,0.9920831558874331,1,99.21,Critical,99.21,Immediate,starter,monthly,29.0,348.0,119,1,0,self-serve,145.0,29.0,5,73
U028053,0.9920376842482822,1,99.2,Critical,99.2,Immediate,starter,monthly,29.0,348.0,78,0,0,self-serve,116.0,29.0,4,74
U016685,0.9920028055958245,1,99.2,Critical,99.2,Immediate,starter,monthly,29.0,348.0,60,1,0,sales-assisted,87.0,29.0,3,75
U002360,0.9918394069030143,1,99.18,Critical,99.18,Immediate,starter,monthly,29.0,348.0,57,1,0,sales-assisted,87.0,29.0,3,76
U027785,0.9918178584781591,1,99.18,Critical,99.18,Immediate,starter,monthly,29.0,348.0,146,0,0,sales-assisted,174.0,29.0,6,77
U000298,0.9918178584781591,1,99.18,Critical,99.18,Immediate,starter,monthly,29.0,348.0,146,0,0,sales-assisted,174.0,29.0,6,78
U001747,0.9917736320779093,1,99.18,Critical,99.18,Immediate,starter,monthly,29.0,348.0,121,1,0,self-serve,145.0,29.0,5,79
U007335,0.991719755478419,1,99.17,Critical,99.17,Immediate,starter,monthly,29.0,348.0,95,0,0,self-serve,145.0,29.0,5,80
U002474,0.9917042841919281,1,99.17,Critical,99.17,Immediate,starter,monthly,29.0,348.0,199,1,0,self-serve,232.0,29.0,8,81
U019540,0.9916011368674799,1,99.16,Critical,99.16,Immediate,starter,monthly,29.0,348.0,269,0,0,self-serve,290.0,29.0,10,82
U029136,0.9915136666909816,1,99.15,Critical,99.15,Immediate,starter,monthly,29.0,348.0,121,1,0,self-serve,145.0,29.0,5,83
U012829,0.9915136666909816,1,99.15,Critical,99.15,Immediate,starter,monthly,29.0,348.0,121,1,0,self-serve,145.0,29.0,5,84
U014148,0.9915136666909816,1,99.15,Critical,99.15,Immediate,starter,monthly,29.0,348.0,121,1,0,self-serve,145.0,29.0,5,85
U008074,0.991479528550077,1,99.15,Critical,99.15,Immediate,starter,monthly,29.0,348.0,146,2,0,self-serve,174.0,29.0,6,86
U008072,0.991476911553461,1,99.15,Critical,99.15,Immediate,starter,annual,29.0,348.0,123,0,0,self-serve,145.0,29.0,5,87
U016138,0.991476911553461,1,99.15,Critical,99.15,Immediate,starter,annual,29.0,348.0,123,0,0,self-serve,145.0,29.0,5,88
U009067,0.9913683658983816,1,99.14,Critical,99.14,Immediate,starter,monthly,29.0,348.0,133,0,0,self-serve,145.0,29.0,5,89
U003770,0.9913683658983816,1,99.14,Critical,99.14,Immediate,starter,monthly,29.0,348.0,133,0,0,self-serve,145.0,29.0,5,90
U025420,0.9913384051179173,1,99.13,Critical,99.13,Immediate,starter,monthly,29.0,348.0,108,0,0,sales-assisted,145.0,29.0,5,91
U018073,0.991144782020386,1,99.11,Critical,99.11,Immediate,starter,monthly,29.0,348.0,136,0,0,self-serve,145.0,29.0,5,92
U012848,0.9911206798164578,1,99.11,Critical,99.11,Immediate,starter,monthly,29.0,348.0,122,0,0,partner,145.0,29.0,5,93
U004558,0.9911090111803327,1,99.11,Critical,99.11,Immediate,starter,monthly,29.0,348.0,147,0,1,self-serve,174.0,29.0,6,94
U005429,0.9910958314524606,1,99.11,Critical,99.11,Immediate,starter,monthly,29.0,348.0,111,0,0,sales-assisted,145.0,29.0,5,95
U014830,0.9908323751004968,1,99.08,Critical,99.08,Immediate,starter,monthly,29.0,348.0,212,0,0,self-serve,232.0,29.0,8,96
U008031,0.9908323751004968,1,99.08,Critical,99.08,Immediate,starter,monthly,29.0,348.0,212,0,0,self-serve,232.0,29.0,8,97
U007598,0.990773843543815,1,99.08,Critical,99.08,Immediate,starter,monthly,29.0,348.0,212,1,0,self-serve,232.0,29.0,8,98
U015967,0.990773843543815,1,99.08,Critical,99.08,Immediate,starter,monthly,29.0,348.0,212,1,0,self-serve,232.0,29.0,8,99
U008290,0.9906923445136661,1,99.07,Critical,99.07,Immediate,starter,monthly,29.0,348.0,148,0,1,self-serve,174.0,29.0,6,100
U022866,0.9906875806470223,1,99.07,Critical,99.07,Immediate,professional,monthly,79.0,948.0,150,0,0,self-serve,474.0,79.0,6,101
U014141,0.9906776819079233,1,99.07,Critical,99.07,Immediate,professional,monthly,79.0,948.0,108,0,0,self-serve,395.0,79.0,5,102
U018257,0.9905094679040267,1,99.05,Critical,99.05,Immediate,starter,monthly,29.0,348.0,178,2,0,self-serve,203.0,29.0,7,103
U013300,0.9905094679040267,1,99.05,Critical,99.05,Immediate,starter,monthly,29.0,348.0,178,2,0,self-serve,203.0,29.0,7,104
U007867,0.990270913300548,1,99.03,Critical,99.03,Immediate,starter,annual,29.0,348.0,113,0,0,self-serve,145.0,29.0,5,105
U027978,0.990270913300548,1,99.03,Critical,99.03,Immediate,starter,annual,29.0,348.0,113,0,0,self-serve,145.0,29.0,5,106
U019897,0.9902228633048782,1,99.02,Critical,99.02,Immediate,starter,monthly,29.0,348.0,104,0,0,sales-assisted,145.0,29.0,5,107
U002578,0.9901576421776939,1,99.02,Critical,99.02,Immediate,professional,monthly,79.0,948.0,293,0,0,self-serve,869.0,79.0,11,108
U007342,0.9898489049283193,1,98.98,Critical,98.98,Immediate,starter,monthly,29.0,348.0,167,0,0,self-serve,174.0,29.0,6,109
U015409,0.9898489049283193,1,98.98,Critical,98.98,Immediate,starter,monthly,29.0,348.0,167,0,0,self-serve,174.0,29.0,6,110
U002074,0.989786429170454,1,98.98,Critical,98.98,Immediate,professional,monthly,79.0,948.0,151,1,0,self-serve,474.0,79.0,6,111
U009567,0.989587806741179,1,98.96,Critical,98.96,Immediate,starter,monthly,29.0,348.0,119,0,0,partner,145.0,29.0,5,112
U017347,0.989575166075829,1,98.96,Critical,98.96,Immediate,starter,monthly,29.0,348.0,202,1,0,self-serve,232.0,29.0,8,113
U002023,0.9895750498124304,1,98.96,Critical,98.96,Immediate,starter,monthly,29.0,348.0,114,0,0,partner,145.0,29.0,5,114
U008608,0.9895710975597735,1,98.96,Critical,98.96,Immediate,professional,monthly,79.0,948.0,150,1,0,self-serve,474.0,79.0,6,115
U026246,0.9895710975597735,1,98.96,Critical,98.96,Immediate,professional,monthly,79.0,948.0,150,1,0,self-serve,474.0,79.0,6,116
U021264,0.9892690549307476,1,98.93,Critical,98.93,Immediate,professional,monthly,79.0,948.0,297,0,0,self-serve,869.0,79.0,11,117
U028170,0.9892419414056784,1,98.92,Critical,98.92,Immediate,starter,monthly,29.0,348.0,59,1,0,self-serve,87.0,29.0,3,118
U003402,0.9892419414056784,1,98.92,Critical,98.92,Immediate,starter,monthly,29.0,348.0,59,1,0,self-serve,87.0,29.0,3,119
U007994,0.9891955035986869,1,98.92,Critical,98.92,Immediate,starter,monthly,29.0,348.0,174,0,1,self-serve,203.0,29.0,7,120
U010816,0.9888975165885855,1,98.89,Critical,98.89,Immediate,starter,monthly,29.0,348.0,143,0,1,self-serve,174.0,29.0,6,121
U011022,0.9888840121561642,1,98.89,Critical,98.89,Immediate,starter,monthly,29.0,348.0,170,0,0,self-serve,203.0,29.0,7,122
U001736,0.9888626453247781,1,98.89,Critical,98.89,Immediate,starter,monthly,29.0,348.0,81,0,0,self-serve,87.0,29.0,3,123
U019470,0.9888028299474729,1,98.88,Critical,98.88,Immediate,professional,monthly,79.0,948.0,42,1,0,sales-assisted,237.0,79.0,3,124
U021401,0.9887528102637979,1,98.88,Critical,98.88,Immediate,starter,monthly,29.0,348.0,181,1,0,self-serve,203.0,29.0,7,125
U026525,0.9886541401412935,1,98.87,Critical,98.87,Immediate,starter,monthly,29.0,348.0,133,2,0,self-serve,174.0,29.0,6,126
U014002,0.9885798042571192,1,98.86,Critical,98.86,Immediate,starter,monthly,29.0,348.0,120,1,0,self-serve,145.0,29.0,5,127
U004738,0.9883590111803328,1,98.84,Critical,98.84,Immediate,starter,monthly,29.0,348.0,149,0,1,self-serve,174.0,29.0,6,128
U017275,0.9882955255361656,1,98.83,Critical,98.83,Immediate,professional,monthly,79.0,948.0,296,0,0,self-serve,869.0,79.0,11,129
U022368,0.9882679659506599,1,98.83,Critical,98.83,Immediate,professional,monthly,79.0,948.0,203,0,0,self-serve,632.0,79.0,8,130
U007880,0.988187871224009,1,98.82,Critical,98.82,Immediate,starter,monthly,29.0,348.0,229,0,0,self-serve,261.0,29.0,9,131
U029543,0.9880829528231315,1,98.81,Critical,98.81,Immediate,starter,monthly,29.0,348.0,157,0,0,sales-assisted,174.0,29.0,6,132
U012431,0.9879010167655402,1,98.79,Critical,98.79,Immediate,starter,annual,29.0,348.0,228,0,0,self-serve,261.0,29.0,9,133
U023374,0.9877416944840818,1,98.77,Critical,98.77,Immediate,professional,monthly,79.0,948.0,54,1,0,self-serve,237.0,79.0,3,134
U014242,0.9877249853917738,1,98.77,Critical,98.77,Immediate,starter,monthly,29.0,348.0,116,1,0,self-serve,145.0,29.0,5,135
U025046,0.9876977793687362,1,98.77,Critical,98.77,Immediate,starter,monthly,29.0,348.0,153,0,0,sales-assisted,174.0,29.0,6,136
U010429,0.9876760659022191,1,98.77,Critical,98.77,Immediate,starter,monthly,29.0,348.0,201,1,0,self-serve,232.0,29.0,8,137
U017713,0.9876283818707691,1,98.76,Critical,98.76,Immediate,professional,monthly,79.0,948.0,55,1,0,self-serve,237.0,79.0,3,138
U020414,0.9876242595194905,1,98.76,Critical,98.76,Immediate,starter,annual,29.0,348.0,155,0,1,sales-assisted,174.0,29.0,6,139
U009521,0.9875827837201098,1,98.76,Critical,98.76,Immediate,starter,monthly,29.0,348.0,166,1,0,sales-assisted,203.0,29.0,7,140
U028189,0.9873177928704274,1,98.73,Critical,98.73,Immediate,professional,monthly,79.0,948.0,103,0,0,self-serve,395.0,79.0,5,141
U011838,0.9872614957183834,1,98.73,Critical,98.73,Immediate,professional,monthly,79.0,948.0,206,0,0,self-serve,632.0,79.0,8,142
U004198,0.9872551502423035,1,98.73,Critical,98.73,Immediate,starter,monthly,29.0,348.0,134,2,0,self-serve,174.0,29.0,6,143
U009331,0.9872055369198627,1,98.72,Critical,98.72,Immediate,starter,monthly,29.0,348.0,80,0,0,self-serve,87.0,29.0,3,144
U002494,0.9871623334116466,1,98.72,Critical,98.72,Immediate,starter,monthly,29.0,348.0,238,2,1,self-serve,261.0,29.0,9,145
U014789,0.9871378622454813,1,98.71,Critical,98.71,Immediate,starter,monthly,29.0,348.0,85,0,0,self-serve,116.0,29.0,4,146
U022160,0.9871139518170916,1,98.71,Critical,98.71,Immediate,starter,monthly,29.0,348.0,209,1,0,self-serve,232.0,29.0,8,147
U021159,0.9870827254667502,1,98.71,Critical,98.71,Immediate,professional,monthly,79.0,948.0,152,1,0,self-serve,474.0,79.0,6,148
U027805,0.9870815605653714,1,98.71,Critical,98.71,Immediate,starter,monthly,29.0,348.0,80,1,0,self-serve,116.0,29.0,4,149
U010532,0.9870499888990342,1,98.7,Critical,98.7,Immediate,starter,monthly,29.0,348.0,236,2,0,self-serve,261.0,29.0,9,150
U020214,0.987039758166904,1,98.7,Critical,98.7,Immediate,starter,monthly,29.0,348.0,179,0,0,self-serve,203.0,29.0,7,151
U014808,0.987039758166904,1,98.7,Critical,98.7,Immediate,starter,monthly,29.0,348.0,179,0,0,self-serve,203.0,29.0,7,152
U013960,0.9870243888018755,1,98.7,Critical,98.7,Immediate,starter,monthly,29.0,348.0,229,0,1,self-serve,261.0,29.0,9,153
U020148,0.9869832117377283,1,98.7,Critical,98.7,Immediate,professional,monthly,79.0,948.0,111,0,0,self-serve,395.0,79.0,5,154
U020878,0.986947380476794,1,98.69,Critical,98.69,Immediate,starter,monthly,29.0,348.0,141,0,0,self-serve,174.0,29.0,6,155
U009673,0.9868562905266565,1,98.69,Critical,98.69,Immediate,starter,monthly,29.0,348.0,237,2,1,self-serve,261.0,29.0,9,156
U008482,0.9866918572218215,1,98.67,Critical,98.67,Immediate,starter,monthly,29.0,348.0,105,0,0,self-serve,145.0,29.0,5,157
U021099,0.9866683950509599,1,98.67,Critical,98.67,Immediate,starter,monthly,29.0,348.0,87,0,0,self-serve,116.0,29.0,4,158
U023310,0.9866511200640469,1,98.67,Critical,98.67,Immediate,professional,monthly,79.0,948.0,204,1,0,self-serve,632.0,79.0,8,159
U012388,0.9866511200640469,1,98.67,Critical,98.67,Immediate,professional,monthly,79.0,948.0,204,1,0,self-serve,632.0,79.0,8,160
U024640,0.9866179177109455,1,98.66,Critical,98.66,Immediate,professional,monthly,79.0,948.0,87,0,0,sales-assisted,316.0,79.0,4,161
U025894,0.9865736604097185,1,98.66,Critical,98.66,Immediate,starter,monthly,29.0,348.0,212,0,1,self-serve,232.0,29.0,8,162
U003572,0.9864537563193068,1,98.65,Critical,98.65,Immediate,starter,monthly,29.0,348.0,94,1,0,self-serve,116.0,29.0,4,163
U009091,0.9864537563193068,1,98.65,Critical,98.65,Immediate,starter,monthly,29.0,348.0,94,1,0,self-serve,116.0,29.0,4,164
U020249,0.9864334932274297,1,98.64,Critical,98.64,Immediate,starter,monthly,29.0,348.0,118,0,1,self-serve,145.0,29.0,5,165
U002169,0.9864334932274297,1,98.64,Critical,98.64,Immediate,starter,monthly,29.0,348.0,118,0,1,self-serve,145.0,29.0,5,166
U026253,0.986345915052864,1,98.63,Critical,98.63,Immediate,professional,monthly,79.0,948.0,116,1,0,sales-assisted,395.0,79.0,5,167
U005312,0.9860607556160909,1,98.61,Critical,98.61,Immediate,professional,monthly,79.0,948.0,153,1,0,self-serve,474.0,79.0,6,168
U022695,0.9860580601780264,1,98.61,Critical,98.61,Immediate,starter,monthly,29.0,348.0,180,2,0,self-serve,203.0,29.0,7,169
U016709,0.9860580601780264,1,98.61,Critical,98.61,Immediate,starter,monthly,29.0,348.0,180,2,0,self-serve,203.0,29.0,7,170
U029939,0.9857747333664435,1,98.58,Critical,98.58,Immediate,starter,monthly,29.0,348.0,120,0,0,sales-assisted,145.0,29.0,5,171
U028251,0.9857537372167646,1,98.58,Critical,98.58,Immediate,starter,monthly,29.0,348.0,44,0,0,self-serve,87.0,29.0,3,172
U021044,0.9857043679392911,1,98.57,Critical,98.57,Immediate,starter,monthly,29.0,348.0,223,1,0,sales-assisted,261.0,29.0,9,173
U027673,0.9856654055507619,1,98.57,Critical,98.57,Immediate,starter,monthly,29.0,348.0,112,0,0,self-serve,145.0,29.0,5,174
U011790,0.9856632805202973,1,98.57,Critical,98.57,Immediate,starter,monthly,29.0,348.0,303,0,0,self-serve,319.0,29.0,11,175
U012604,0.9855678976773727,1,98.56,Critical,98.56,Immediate,professional,monthly,79.0,948.0,76,0,0,sales-assisted,316.0,79.0,4,176
U025183,0.9855311573378299,1,98.55,Critical,98.55,Immediate,professional,monthly,79.0,948.0,122,1,0,sales-assisted,395.0,79.0,5,177
U006261,0.9855195008065787,1,98.55,Critical,98.55,Immediate,professional,monthly,79.0,948.0,147,1,0,self-serve,474.0,79.0,6,178
U023786,0.9854093426653534,1,98.54,Critical,98.54,Immediate,starter,monthly,29.0,348.0,296,0,0,self-serve,319.0,29.0,11,179
U014448,0.98540551375553,1,98.54,Critical,98.54,Immediate,starter,monthly,29.0,348.0,172,1,0,partner,203.0,29.0,7,180
U017786,0.9853855678309678,1,98.54,Critical,98.54,Immediate,starter,monthly,29.0,348.0,146,0,0,self-serve,174.0,29.0,6,181
U006062,0.9853033211637048,1,98.53,Critical,98.53,Immediate,starter,monthly,29.0,348.0,156,0,0,sales-assisted,174.0,29.0,6,182
U011712,0.9852611026495852,1,98.53,Critical,98.53,Immediate,starter,monthly,29.0,348.0,221,0,1,self-serve,261.0,29.0,9,183
U020161,0.9851927295002476,1,98.52,Critical,98.52,Immediate,starter,monthly,29.0,348.0,77,0,1,sales-assisted,116.0,29.0,4,184
U017830,0.9851218736764844,1,98.51,Critical,98.51,Immediate,starter,annual,29.0,348.0,112,3,0,self-serve,145.0,29.0,5,185
U027506,0.9851080666997768,1,98.51,Critical,98.51,Immediate,starter,monthly,29.0,348.0,118,0,0,sales-assisted,145.0,29.0,5,186
U006416,0.9848915854288212,1,98.49,Critical,98.49,Immediate,professional,monthly,79.0,948.0,97,0,0,self-serve,395.0,79.0,5,187
U004701,0.9848798289987442,1,98.49,Critical,98.49,Immediate,starter,annual,29.0,348.0,160,0,1,sales-assisted,174.0,29.0,6,188
U020157,0.9846861621922511,1,98.47,Critical,98.47,Immediate,starter,monthly,29.0,348.0,157,1,0,self-serve,174.0,29.0,6,189
U029782,0.9846861621922511,1,98.47,Critical,98.47,Immediate,starter,monthly,29.0,348.0,157,1,0,self-serve,174.0,29.0,6,190
U016399,0.9845907335537608,1,98.46,Critical,98.46,Immediate,starter,monthly,29.0,348.0,47,0,0,self-serve,87.0,29.0,3,191
U025319,0.984485388129522,1,98.45,Critical,98.45,Immediate,starter,monthly,29.0,348.0,179,1,0,partner,203.0,29.0,7,192
U017753,0.9843167094292801,1,98.43,Critical,98.43,Immediate,starter,monthly,29.0,348.0,91,0,0,self-serve,116.0,29.0,4,193
U019958,0.9842652898509493,1,98.43,Critical,98.43,Immediate,professional,monthly,79.0,948.0,56,1,0,sales-assisted,237.0,79.0,3,194
U012826,0.9842322513976937,1,98.42,Critical,98.42,Immediate,starter,monthly,29.0,348.0,117,2,0,sales-assisted,145.0,29.0,5,195
U024020,0.9839807712367818,1,98.4,Critical,98.4,Immediate,starter,monthly,29.0,348.0,297,0,0,self-serve,319.0,29.0,11,196
